time,temperature,rain
2025-11-01 12:00:00,19.9,0.0
2025-11-01 13:00:00,19.9,0.0
2025-11-01 14:00:00,20.0,0.0
2025-11-01 15:00:00,20.4,0.0
2025-11-01 16:00:00,21.3,0.0
2025-11-01 17:00:00,22.6,0.0
2025-11-01 18:00:00,24.0,0.0
2025-11-01 19:00:00,25.6,0.0
2025-11-01 20:00:00,27.4,0.0
2025-11-01 21:00:00,29.0,0.0
2025-11-01 22:00:00,30.3,0.0
2025-11-01 23:00:00,31.4,0.0
2025-11-02 00:00:00,32.0,0.0
2025-11-02 01:00:00,32.0,0.0
2025-11-02 02:00:00,31.6,0.0
2025-11-02 03:00:00,30.8,0.0
2025-11-02 04:00:00,29.4,0.0
2025-11-02 05:00:00,27.6,0.0
2025-11-02 06:00:00,26.0,0.0
2025-11-02 07:00:00,25.0,0.0
2025-11-02 08:00:00,24.3,0.0
2025-11-02 09:00:00,23.6,0.0
2025-11-02 10:00:00,23.0,0.0
2025-11-02 11:00:00,22.5,0.0
2025-11-02 12:00:00,22.0,0.0
2025-11-02 13:00:00,21.6,0.0
2025-11-02 14:00:00,21.2,0.0
2025-11-02 15:00:00,21.2,0.0
2025-11-02 16:00:00,21.9,0.0
2025-11-02 17:00:00,22.9,0.0
2025-11-02 18:00:00,24.4,0.0
2025-11-02 19:00:00,26.7,0.0
2025-11-02 20:00:00,29.3,0.0
2025-11-02 21:00:00,31.2,0.0
2025-11-02 22:00:00,28.8,0.0
2025-11-02 23:00:00,29.4,0.0
